task_created_time,task_completed_time
2022-11-01 12:10:52 +0700,2022-11-01 13:49:44 +0700
2022-11-01 13:08:14 +0700,2022-11-01 15:25:51 +0700
2022-11-01 10:01:57 +0700,2022-11-01 14:15:50 +0700
2022-11-01 10:01:57 +0700,2022-11-01 15:38:14 +0700
2022-11-01 10:01:57 +0700,2022-11-01 13:03:58 +0700
2022-11-01 10:01:57 +0700,2022-11-01 11:19:50 +0700
2022-11-01 10:01:57 +0700,2022-11-01 17:46:51 +0700
2022-11-01 10:01:57 +0700,2022-11-01 14:56:07 +0700
2022-11-01 12:10:52 +0700,2022-11-01 17:35:36 +0700
2022-11-01 10:01:57 +0700,2022-11-01 14:51:32 +0700
2022-11-01 10:01:57 +0700,2022-11-01 13:45:42 +0700
2022-11-01 10:01:57 +0700,2022-11-01 18:14:03 +0700
2022-11-01 10:01:57 +0700,2022-11-01 18:43:29 +0700
2022-11-01 10:01:57 +0700,2022-11-01 14:36:22 +0700
2022-11-01 11:59:39 +0700,2022-11-01 13:55:43 +0700
2022-11-01 15:44:26 +0700,2022-11-01 16:17:47 +0700
2022-11-01 12:31:12 +0700,2022-11-01 19:12:55 +0700
2022-11-01 12:31:13 +0700,2022-11-01 13:13:58 +0700
2022-11-01 10:05:54 +0700,2022-11-01 12:38:06 +0700
2022-11-01 10:05:54 +0700,2022-11-01 16:00:13 +0700
2022-11-01 10:05:54 +0700,2022-11-01 10:57:02 +0700
2022-11-01 12:31:13 +0700,2022-11-01 14:51:11 +0700
2022-11-01 12:31:12 +0700,2022-11-01 13:53:11 +0700
2022-11-01 12:31:12 +0700,2022-11-01 12:54:13 +0700
2022-11-01 12:31:12 +0700,2022-11-01 17:41:47 +0700
2022-11-01 12:31:13 +0700,2022-11-01 13:10:52 +0700
2022-11-01 12:31:13 +0700,2022-11-01 14:10:58 +0700
2022-11-01 10:05:55 +0700,2022-11-01 12:38:06 +0700
2022-11-01 10:05:55 +0700,2022-11-01 15:35:04 +0700
2022-11-01 10:05:55 +0700,2022-11-01 11:17:52 +0700
2022-11-01 10:05:54 +0700,2022-11-01 15:57:36 +0700
2022-11-01 10:05:55 +0700,2022-11-01 15:35:04 +0700
2022-11-01 10:05:55 +0700,2022-11-01 10:57:02 +0700
2022-11-01 10:05:55 +0700,2022-11-01 11:08:45 +0700
2022-11-01 10:05:55 +0700,2022-11-01 16:00:13 +0700
2022-11-01 12:31:12 +0700,2022-11-01 13:47:15 +0700
2022-11-01 10:01:57 +0700,2022-11-01 14:26:38 +0700
2022-11-01 10:01:57 +0700,2022-11-01 11:53:49 +0700
2022-11-01 12:31:13 +0700,2022-11-01 17:42:39 +0700
2022-11-01 11:59:39 +0700,2022-11-01 20:35:19 +0700
2022-11-01 11:59:39 +0700,2022-11-01 20:37:56 +0700
2022-11-01 11:59:39 +0700,2022-11-01 14:13:27 +0700
2022-11-01 12:31:12 +0700,2022-11-01 13:37:49 +0700
2022-11-01 12:31:13 +0700,2022-11-01 19:13:19 +0700
2022-11-01 10:05:55 +0700,2022-11-01 12:38:06 +0700
2022-11-01 10:38:46 +0700,2022-11-01 10:52:16 +0700
2022-11-01 08:16:31 +0700,2022-11-01 14:27:51 +0700
2022-11-01 08:16:31 +0700,2022-11-01 14:35:30 +0700
2022-11-01 08:16:31 +0700,2022-11-01 14:33:10 +0700
2022-11-01 08:16:32 +0700,2022-11-01 09:52:27 +0700
2022-11-01 08:16:31 +0700,2022-11-01 14:34:23 +0700
2022-11-01 08:16:31 +0700,2022-11-01 14:34:23 +0700
2022-11-01 08:16:31 +0700,2022-11-01 14:35:30 +0700
2022-11-01 08:16:30 +0700,2022-11-01 14:33:50 +0700
2022-11-01 08:16:30 +0700,2022-11-01 14:33:10 +0700
2022-11-01 08:16:30 +0700,2022-11-01 14:34:55 +0700
2022-11-01 08:16:31 +0700,2022-11-01 14:30:34 +0700
2022-11-01 08:16:31 +0700,2022-11-01 14:25:47 +0700
2022-11-01 08:16:31 +0700,2022-11-01 14:28:04 +0700
2022-11-01 08:16:31 +0700,2022-11-01 14:26:45 +0700
2022-11-01 08:16:31 +0700,2022-11-01 14:33:50 +0700
2022-11-01 08:16:31 +0700,2022-11-01 14:25:33 +0700
2022-11-01 08:16:31 +0700,2022-11-01 14:35:30 +0700
2022-11-01 08:16:31 +0700,2022-11-01 09:52:27 +0700
2022-11-01 08:16:31 +0700,2022-11-01 09:52:27 +0700
2022-11-01 08:16:31 +0700,2022-11-01 14:26:30 +0700
2022-11-01 08:16:31 +0700,2022-11-01 09:54:52 +0700
2022-11-01 08:16:31 +0700,2022-11-01 14:31:37 +0700
2022-11-01 08:16:31 +0700,2022-11-01 14:27:22 +0700
2022-11-01 08:16:30 +0700,2022-11-01 14:33:10 +0700
2022-11-01 08:16:30 +0700,2022-11-01 14:25:13 +0700
2022-11-01 08:16:30 +0700,2022-11-01 14:33:10 +0700
2022-11-01 08:16:30 +0700,2022-11-01 14:34:23 +0700
2022-11-01 12:02:46 +0700,2022-11-01 14:39:19 +0700
2022-11-01 08:16:31 +0700,2022-11-01 14:33:10 +0700
2022-11-01 08:16:31 +0700,2022-11-01 14:31:49 +0700
2022-11-01 08:16:31 +0700,2022-11-01 14:32:34 +0700
2022-11-01 08:16:31 +0700,2022-11-01 17:55:02 +0700
2022-11-01 08:16:31 +0700,2022-11-01 09:57:04 +0700
2022-11-01 08:16:30 +0700,2022-11-01 09:51:52 +0700
2022-11-01 08:16:31 +0700,2022-11-01 14:33:10 +0700
2022-11-01 08:16:31 +0700,2022-11-01 14:26:16 +0700
2022-11-01 08:16:31 +0700,2022-11-01 14:34:55 +0700
2022-11-01 08:16:31 +0700,2022-11-01 17:55:24 +0700
2022-11-01 08:16:31 +0700,2022-11-01 14:32:02 +0700
2022-11-01 08:16:31 +0700,2022-11-01 14:33:10 +0700
2022-11-01 08:16:31 +0700,2022-11-01 09:56:49 +0700
2022-11-01 08:16:31 +0700,2022-11-01 14:27:35 +0700
2022-11-01 08:16:32 +0700,2022-11-01 14:38:41 +0700
2022-11-01 08:16:31 +0700,2022-11-01 14:28:19 +0700
2022-11-01 08:16:31 +0700,2022-11-01 14:26:02 +0700
2022-11-01 08:16:31 +0700,2022-11-01 14:31:18 +0700
2022-11-01 08:16:31 +0700,2022-11-01 14:27:08 +0700
2022-11-01 08:16:31 +0700,2022-11-01 14:31:02 +0700
2022-11-01 08:16:32 +0700,2022-11-01 14:38:59 +0700
2022-11-01 08:06:30 +0700,2022-11-01 11:15:31 +0700
2022-11-01 08:06:30 +0700,2022-11-01 11:17:12 +0700
2022-11-01 08:06:30 +0700,2022-11-01 11:13:58 +0700
2022-11-01 08:06:30 +0700,2022-11-01 17:42:22 +0700
2022-11-01 10:32:19 +0700,2022-11-01 18:28:19 +0700
2022-11-01 10:32:19 +0700,2022-11-01 13:14:00 +0700
2022-11-01 10:32:19 +0700,2022-11-01 19:34:27 +0700
2022-11-01 10:32:20 +0700,2022-11-01 15:13:00 +0700
2022-11-01 10:32:20 +0700,2022-11-01 18:40:24 +0700
2022-11-01 10:32:20 +0700,2022-11-01 13:19:17 +0700
2022-11-01 10:32:20 +0700,2022-11-01 13:58:10 +0700
2022-11-01 10:32:19 +0700,2022-11-01 18:28:19 +0700
2022-11-01 10:32:19 +0700,2022-11-01 18:16:48 +0700
2022-11-01 10:32:20 +0700,2022-11-01 18:45:05 +0700
2022-11-01 10:32:20 +0700,2022-11-01 16:15:33 +0700
2022-11-01 10:32:20 +0700,2022-11-01 18:49:40 +0700
2022-11-01 14:46:09 +0700,2022-11-01 15:06:38 +0700
2022-11-01 10:18:24 +0700,2022-11-01 13:31:16 +0700
2022-11-01 10:18:24 +0700,2022-11-01 12:15:05 +0700
2022-11-01 10:18:24 +0700,2022-11-01 14:22:53 +0700
2022-11-01 10:18:24 +0700,2022-11-01 13:14:39 +0700
2022-11-01 10:18:24 +0700,2022-11-01 14:11:17 +0700
2022-11-01 07:41:16 +0700,2022-11-01 11:05:33 +0700
2022-11-01 07:41:16 +0700,2022-11-01 11:23:42 +0700
2022-11-01 07:41:16 +0700,2022-11-01 16:02:42 +0700
2022-11-01 16:09:43 +0700,2022-11-01 16:10:49 +0700
2022-11-01 11:34:53 +0700,2022-11-01 16:21:38 +0700
2022-11-01 11:34:55 +0700,2022-11-01 13:39:30 +0700
2022-11-01 11:34:55 +0700,2022-11-01 13:48:11 +0700
2022-11-01 11:34:55 +0700,2022-11-01 13:51:41 +0700
2022-11-01 11:34:56 +0700,2022-11-01 14:00:24 +0700
2022-11-01 11:34:54 +0700,2022-11-01 13:12:28 +0700
2022-11-01 20:16:54 +0700,2022-11-01 20:26:29 +0700
2022-11-01 12:05:23 +0700,2022-11-01 18:21:25 +0700
2022-11-01 12:05:22 +0700,2022-11-01 18:18:41 +0700
2022-11-01 12:05:23 +0700,2022-11-01 16:02:45 +0700
2022-11-01 09:13:07 +0700,2022-11-01 10:37:01 +0700
2022-11-01 09:13:07 +0700,2022-11-01 12:12:20 +0700
2022-11-01 08:31:33 +0700,2022-11-01 10:09:37 +0700
2022-11-01 08:31:32 +0700,2022-11-01 11:23:53 +0700
2022-11-01 08:31:33 +0700,2022-11-01 09:39:07 +0700
2022-11-01 08:31:33 +0700,2022-11-01 12:32:57 +0700
2022-11-01 08:31:33 +0700,2022-11-01 11:11:45 +0700
2022-11-01 08:31:33 +0700,2022-11-01 10:09:37 +0700
2022-11-01 08:31:32 +0700,2022-11-01 11:43:44 +0700
2022-11-01 08:31:32 +0700,2022-11-01 10:09:37 +0700
2022-11-01 08:31:33 +0700,2022-11-01 11:23:53 +0700
2022-11-01 08:31:33 +0700,2022-11-01 11:23:53 +0700
2022-11-01 08:31:33 +0700,2022-11-01 11:23:16 +0700
2022-11-01 08:31:32 +0700,2022-11-01 09:28:59 +0700
2022-11-01 08:31:33 +0700,2022-11-01 12:32:57 +0700
2022-11-01 08:31:33 +0700,2022-11-01 12:32:57 +0700
2022-11-01 08:31:33 +0700,2022-11-01 09:39:07 +0700
2022-11-01 08:31:33 +0700,2022-11-01 11:23:53 +0700
2022-11-01 08:31:32 +0700,2022-11-01 09:16:06 +0700
2022-11-01 08:31:32 +0700,2022-11-01 11:43:44 +0700
2022-11-01 08:31:33 +0700,2022-11-01 09:12:05 +0700
2022-11-01 07:57:44 +0700,2022-11-01 15:57:19 +0700
2022-11-01 07:57:44 +0700,2022-11-01 09:21:04 +0700
2022-11-01 07:57:44 +0700,2022-11-01 18:09:57 +0700
2022-11-01 07:57:43 +0700,2022-11-01 15:56:54 +0700
2022-11-01 12:04:22 +0700,2022-11-01 17:11:43 +0700
2022-11-01 07:57:44 +0700,2022-11-01 09:51:27 +0700
2022-11-01 08:53:27 +0700,2022-11-01 10:13:26 +0700
2022-11-01 11:37:40 +0700,2022-11-01 13:16:36 +0700
2022-11-01 08:53:28 +0700,2022-11-01 10:05:46 +0700
2022-11-01 11:37:41 +0700,2022-11-01 14:32:25 +0700
2022-11-01 11:37:40 +0700,2022-11-01 13:05:35 +0700
2022-11-01 08:26:45 +0700,2022-11-01 12:33:37 +0700
2022-11-01 08:26:45 +0700,2022-11-01 14:32:34 +0700
2022-11-01 08:26:44 +0700,2022-11-01 14:37:34 +0700
2022-11-01 08:26:45 +0700,2022-11-01 11:22:25 +0700
2022-11-01 08:26:45 +0700,2022-11-01 12:33:37 +0700
2022-11-01 08:26:45 +0700,2022-11-01 13:31:16 +0700
2022-11-01 08:26:44 +0700,2022-11-01 13:14:39 +0700
2022-11-01 08:26:45 +0700,2022-11-01 12:24:56 +0700
2022-11-01 08:26:45 +0700,2022-11-01 15:05:41 +0700
2022-11-01 08:26:45 +0700,2022-11-01 14:37:34 +0700
2022-11-01 08:26:45 +0700,2022-11-01 12:24:56 +0700
2022-11-01 08:26:44 +0700,2022-11-01 12:15:05 +0700
2022-11-01 12:04:56 +0700,2022-11-01 14:48:48 +0700
2022-11-01 12:04:57 +0700,2022-11-01 14:32:06 +0700
2022-11-01 12:04:56 +0700,2022-11-01 17:06:31 +0700
2022-11-01 12:04:57 +0700,2022-11-01 15:04:00 +0700
2022-11-01 12:04:56 +0700,2022-11-01 16:55:25 +0700
2022-11-01 08:26:45 +0700,2022-11-01 11:37:49 +0700
2022-11-01 08:26:45 +0700,2022-11-01 11:54:41 +0700
2022-11-01 08:26:45 +0700,2022-11-01 11:18:22 +0700
2022-11-01 12:04:56 +0700,2022-11-01 14:11:28 +0700
2022-11-01 12:04:57 +0700,2022-11-01 18:27:03 +0700
2022-11-01 12:04:56 +0700,2022-11-01 15:04:00 +0700
2022-11-01 12:04:56 +0700,2022-11-01 18:24:03 +0700
2022-11-01 12:04:56 +0700,2022-11-01 15:08:43 +0700
2022-11-01 12:04:56 +0700,2022-11-01 14:18:39 +0700
2022-11-01 09:16:59 +0700,2022-11-01 10:43:24 +0700
2022-11-01 09:16:59 +0700,2022-11-01 11:07:28 +0700
2022-11-01 09:16:59 +0700,2022-11-01 10:51:20 +0700
2022-11-01 08:26:45 +0700,2022-11-01 14:53:30 +0700
2022-11-01 08:26:44 +0700,2022-11-01 14:32:34 +0700
2022-11-01 08:26:45 +0700,2022-11-01 14:11:17 +0700
2022-11-01 08:26:44 +0700,2022-11-01 14:11:17 +0700
2022-11-01 08:26:44 +0700,2022-11-01 12:24:56 +0700
2022-11-01 08:26:45 +0700,2022-11-01 11:18:22 +0700
2022-11-01 08:26:45 +0700,2022-11-01 12:24:56 +0700
2022-11-01 08:26:44 +0700,2022-11-01 14:22:53 +0700
2022-11-01 08:26:44 +0700,2022-11-01 13:14:39 +0700
2022-11-01 08:26:45 +0700,2022-11-01 15:05:41 +0700
2022-11-01 08:26:44 +0700,2022-11-01 12:33:37 +0700
2022-11-01 08:26:45 +0700,2022-11-01 14:11:17 +0700
2022-11-01 08:26:45 +0700,2022-11-01 13:19:50 +0700
2022-11-01 08:26:45 +0700,2022-11-01 11:18:22 +0700
2022-11-01 08:26:45 +0700,2022-11-01 15:22:24 +0700
2022-11-01 08:26:45 +0700,2022-11-01 11:18:22 +0700
2022-11-01 15:01:19 +0700,2022-11-01 16:38:16 +0700
2022-11-01 18:35:17 +0700,2022-11-01 18:36:08 +0700
2022-11-01 09:55:02 +0700,2022-11-01 15:26:10 +0700
2022-11-01 09:55:02 +0700,2022-11-01 15:26:33 +0700
2022-11-01 10:30:19 +0700,2022-11-01 11:56:58 +0700
2022-11-01 10:30:19 +0700,2022-11-01 10:31:18 +0700
2022-11-01 10:30:19 +0700,2022-11-01 14:10:15 +0700
2022-11-01 10:30:19 +0700,2022-11-01 12:21:14 +0700
2022-11-01 10:30:19 +0700,2022-11-01 11:06:32 +0700
2022-11-01 10:30:19 +0700,2022-11-01 21:43:09 +0700
2022-11-01 10:30:19 +0700,2022-11-01 14:50:31 +0700
2022-11-01 10:30:19 +0700,2022-11-01 11:01:36 +0700
2022-11-01 10:30:19 +0700,2022-11-01 11:04:11 +0700
2022-11-01 10:30:19 +0700,2022-11-01 16:26:16 +0700
2022-11-01 16:29:26 +0700,2022-11-01 18:39:57 +0700
2022-11-01 10:30:19 +0700,2022-11-01 10:31:07 +0700
2022-11-01 16:29:26 +0700,2022-11-01 18:39:57 +0700
2022-11-01 10:30:19 +0700,2022-11-01 10:31:29 +0700
2022-11-01 11:21:13 +0700,2022-11-01 12:58:41 +0700
2022-11-01 11:21:13 +0700,2022-11-01 13:59:40 +0700
2022-11-01 11:21:13 +0700,2022-11-01 12:29:15 +0700
2022-11-01 10:30:19 +0700,2022-11-01 12:29:45 +0700
2022-11-01 09:00:32 +0700,2022-11-01 18:29:44 +0700
2022-11-01 10:30:19 +0700,2022-11-01 21:43:32 +0700
2022-11-01 18:20:44 +0700,2022-11-01 18:21:56 +0700
2022-11-01 08:10:18 +0700,2022-11-01 10:09:20 +0700
2022-11-01 08:10:18 +0700,2022-11-01 10:09:20 +0700
2022-11-01 08:10:18 +0700,2022-11-01 09:55:06 +0700
2022-11-01 08:10:18 +0700,2022-11-01 11:24:35 +0700
2022-11-01 08:10:18 +0700,2022-11-01 11:24:35 +0700
2022-11-01 08:10:18 +0700,2022-11-01 11:24:35 +0700
2022-11-01 08:10:18 +0700,2022-11-01 11:24:35 +0700
2022-11-01 11:47:06 +0700,2022-11-01 22:30:10 +0700
2022-11-01 11:47:06 +0700,2022-11-01 22:27:22 +0700
2022-11-01 11:47:05 +0700,2022-11-01 22:30:10 +0700
2022-11-01 08:55:56 +0700,2022-11-01 14:28:50 +0700
2022-11-01 18:18:17 +0700,2022-11-01 18:23:22 +0700
2022-11-01 18:18:17 +0700,2022-11-01 18:23:22 +0700
2022-11-01 18:18:17 +0700,2022-11-01 18:23:22 +0700
2022-11-01 12:55:09 +0700,2022-11-01 14:19:46 +0700
2022-11-01 07:24:05 +0700,2022-11-01 09:10:28 +0700
2022-11-01 07:24:05 +0700,2022-11-01 16:39:45 +0700
2022-11-01 10:01:08 +0700,2022-11-01 14:28:15 +0800
2022-11-01 10:58:36 +0700,2022-11-01 15:14:58 +0700
2022-11-01 10:58:35 +0700,2022-11-01 14:48:59 +0700
2022-11-01 10:58:37 +0700,2022-11-01 17:38:52 +0700
2022-11-01 10:58:35 +0700,2022-11-01 13:08:37 +0700
2022-11-01 10:58:35 +0700,2022-11-01 14:15:32 +0700
2022-11-01 10:58:36 +0700,2022-11-01 15:18:10 +0700
2022-11-01 10:58:35 +0700,2022-11-01 13:00:10 +0700
2022-11-01 10:58:35 +0700,2022-11-01 13:08:37 +0700
2022-11-01 10:58:37 +0700,2022-11-01 17:45:19 +0700
2022-11-01 10:58:37 +0700,2022-11-01 17:24:30 +0700
2022-11-01 10:58:37 +0700,2022-11-01 17:53:12 +0700
2022-11-01 10:01:08 +0700,2022-11-01 14:28:15 +0800
2022-11-01 10:58:36 +0700,2022-11-01 15:18:10 +0700
2022-11-01 10:58:34 +0700,2022-11-01 11:46:54 +0700
2022-11-01 10:58:36 +0700,2022-11-01 15:48:56 +0700
2022-11-01 10:58:35 +0700,2022-11-01 14:06:47 +0700
2022-11-01 10:58:34 +0700,2022-11-01 12:40:14 +0700
2022-11-01 10:58:37 +0700,2022-11-01 17:08:10 +0700
2022-11-01 10:58:37 +0700,2022-11-01 16:33:35 +0700
2022-11-01 10:58:37 +0700,2022-11-01 17:17:55 +0700
2022-11-01 09:47:05 +0700,2022-11-01 11:14:53 +0700
2022-11-01 09:47:05 +0700,2022-11-01 12:11:49 +0700
2022-11-01 09:47:05 +0700,2022-11-01 11:29:32 +0700
2022-11-01 09:47:05 +0700,2022-11-01 11:46:17 +0700
2022-11-01 09:47:05 +0700,2022-11-01 11:06:40 +0700
2022-11-01 09:47:05 +0700,2022-11-01 11:17:56 +0700
2022-11-01 10:08:36 +0700,2022-11-01 14:33:51 +0700
2022-11-01 08:46:43 +0700,2022-11-01 13:29:05 +0700
2022-11-01 08:46:43 +0700,2022-11-01 12:38:08 +0700
2022-11-01 08:46:43 +0700,2022-11-01 12:31:45 +0700
2022-11-01 08:46:43 +0700,2022-11-01 12:58:49 +0700
2022-11-01 08:46:43 +0700,2022-11-01 10:09:12 +0700
2022-11-01 10:08:37 +0700,2022-11-01 14:32:46 +0700
2022-11-01 10:08:37 +0700,2022-11-01 14:33:51 +0700
2022-11-01 10:08:37 +0700,2022-11-01 12:02:54 +0700
2022-11-01 10:08:37 +0700,2022-11-01 15:19:05 +0700
2022-11-01 10:08:37 +0700,2022-11-01 12:02:08 +0700
